epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.67672,2.49324,2.80948,1.66795,0.05099,0.16667,0.03864,0.01512,2.18982,3.10145,1.71686,6.668e-05,6.668e-05,6.668e-05
2,3.25091,2.31239,2.33655,1.61877,0.56595,0.48421,0.43321,0.21336,1.80278,2.59059,1.35567,0.000147059,0.000147059,0.000147059
3,4.98792,2.05004,1.80214,1.42504,0.52147,0.63333,0.54865,0.25609,2.08266,1.80063,1.49826,0.000224138,0.000224138,0.000224138
4,6.69822,1.79721,1.39147,1.31285,0.75005,0.55013,0.68432,0.36073,1.82398,1.7748,1.51307,0.000297916,0.000297916,0.000297916
5,8.39003,1.79734,1.32026,1.29266,0.62849,0.61989,0.65728,0.39766,1.59057,2.33287,1.31509,0.000368394,0.000368394,0.000368394
6,9.92112,1.79938,1.26997,1.2599,0.76828,0.61436,0.74711,0.44642,1.57446,2.06513,1.27498,0.00043557,0.00043557,0.00043557
7,11.4916,1.65916,1.19461,1.26183,0.66775,0.7724,0.76658,0.4101,1.57642,2.03888,1.32072,0.000499447,0.000499447,0.000499447
8,12.9568,1.57146,1.15883,1.24453,0.63645,0.68889,0.7135,0.40559,1.52515,1.77989,1.28299,0.000560022,0.000560022,0.000560022
9,14.4775,1.63043,1.16433,1.19872,0.87279,0.77222,0.87293,0.50545,1.52418,1.62861,1.32825,0.000617297,0.000617297,0.000617297
10,16.018,1.62398,1.05594,1.16056,0.79366,0.75,0.83379,0.41064,1.82332,1.53229,1.51316,0.000671271,0.000671271,0.000671271
11,17.5245,1.42691,0.97398,1.13464,0.87387,0.73569,0.8373,0.48457,1.55524,1.09457,1.37485,0.000721944,0.000721944,0.000721944
12,18.9895,1.47315,0.94327,1.13683,0.56784,0.84444,0.75703,0.45161,1.40432,1.59151,1.31665,0.000769317,0.000769317,0.000769317
13,20.4451,1.52467,1.01595,1.15245,0.83398,0.77244,0.87018,0.51524,1.36364,1.34327,1.27733,0.000813389,0.000813389,0.000813389
14,21.9724,1.5478,0.99543,1.1872,0.86724,0.86667,0.91479,0.52755,1.47921,1.19088,1.3435,0.000854161,0.000854161,0.000854161
15,23.617,1.48009,1.02646,1.14963,0.66039,0.9,0.90733,0.514,1.47564,1.31929,1.37667,0.000891632,0.000891632,0.000891632
16,25.0931,1.44313,0.97511,1.13255,0.66332,0.81486,0.90798,0.5003,1.56058,1.32577,1.38145,0.000925802,0.000925802,0.000925802
17,26.585,1.48881,0.98473,1.14494,0.84751,0.84074,0.92186,0.52721,1.54714,1.68366,1.34621,0.000956671,0.000956671,0.000956671
18,28.0768,1.45961,0.97085,1.11474,0.77201,0.82821,0.91082,0.52147,1.48877,1.63298,1.33562,0.00098424,0.00098424,0.00098424
19,29.5474,1.42903,0.9074,1.14876,0.78048,0.81389,0.89537,0.52162,1.46218,1.33307,1.32673,0.00100851,0.00100851,0.00100851
20,31.0524,1.4354,0.95564,1.11415,0.81307,0.86471,0.91617,0.52899,1.52547,1.11378,1.35857,0.00102948,0.00102948,0.00102948
21,32.5942,1.43123,0.92623,1.12361,0.87897,0.89485,0.95182,0.54322,1.62593,1.20994,1.41516,0.00100687,0.00100687,0.00100687
22,34.102,1.34945,0.90147,1.11731,0.87559,0.81638,0.93388,0.57971,1.56245,1.26129,1.40503,0.000973861,0.000973861,0.000973861
23,35.6014,1.39558,0.85634,1.09406,0.85944,0.85152,0.91204,0.58192,1.4736,1.16844,1.33847,0.000940855,0.000940855,0.000940855
24,37.1132,1.40127,0.9211,1.10033,0.86047,0.83312,0.92617,0.58847,1.39175,0.84833,1.28142,0.000907848,0.000907848,0.000907848
25,38.6206,1.29063,0.85208,1.08264,0.82527,0.87396,0.92147,0.58436,1.34523,0.8654,1.27425,0.000874842,0.000874842,0.000874842
26,40.0673,1.2982,0.86114,1.12025,0.91325,0.82222,0.93605,0.57222,1.36796,0.89208,1.29425,0.000841835,0.000841835,0.000841835
27,41.4969,1.34779,0.83918,1.11134,0.86847,0.89135,0.93509,0.57172,1.37054,0.8765,1.30163,0.000808828,0.000808828,0.000808828
